year,deaths,vehicle_miles_traveled_billions,population,alcohol_related,alcohol_related_derived,non_alcohol_related
1899,26,,76212168,,,
1900,36,,76094000,,,
1901,54,,77584000,,,
1902,79,,79163000,,,
1903,117,,80632000,,,
1904,172,,82166000,,,
1905,252,,83822000,,,
1906,338,,85450000,,,
1907,581,,87008000,,,
1908,751,,88710000,,,
1909,1174,,90490000,,,
1910,1599,,92407000,,,
1911,2043,,93863000,,,
1912,2968,,95335000,,,
1913,4079,,97225000,,,
1914,4468,,99111000,,,
1915,6779,,100546000,,,
1916,7766,,101961000,,,
1917,9630,,103268000,,,
1918,10390,,103208000,,,
1919,10896,,104514000,,,
1920,12155,,106461000,,,
1921,13253,55,108538000,,,
1922,14859,67,110049000,,,
1923,17870,85,111947000,,,
1924,18400,104,114109000,,,
1925,20771,122,115829000,,,
1926,22194,140,117397000,,,
1927,24470,158,119035000,,,
1928,26557,172,120509000,,,
1929,29592,197,121767000,,,
1930,31204,206,123076741,,,
1931,31963,216,124039648,,,
1932,27979,200,124840471,,,
1933,29746,200,125578763,,,
1934,34240,215,126373773,,,
1935,34494,228,127250232,,,
1936,36126,252,128053180,,,
1937,37819,270,128824829,,,
1938,31083,271,129824939,,,
1939,30895,285,130879718,,,
1940,32914,302,132122446,,,
1941,38142,333,133402471,,,
1942,27007,268,134859553,,,
1943,22727,208,136739353,,,
1944,23165,212,138397345,,,
1945,26785,250,139928165,,,
1946,31874,340,141388566,,,
1947,31193,370,144126071,,,
1948,30775,397,146631302,,,
1949,30246,424,149188130,,,
1950,33186,458,152271417,,,
1951,35309,491,154877889,,,
1952,36088,513,157552740,,,
1953,36190,544,160184192,,,
1954,33890,561,163025854,,,
1955,36688,605,165931202,,,
1956,37965,627,168903031,,,
1957,36932,647,171984130,,,
1958,35331,664,174881904,,,
1959,36223,700,177829628,,,
1960,36399,718,180671158,,,
1961,36285,737,183691481,,,
1962,38980,766,186537737,,,
1963,41723,805,189241798,,,
1964,45645,846,191888791,,,
1965,47089,887,194302963,,,
1966,50894,925,196560338,,,
1967,50724,964,198712056,,,
1968,52725,1015,200706052,,,
1969,53543,1061,202676946,,,
1970,52627,1109,205052174,,,
1971,52542,1178,207660677,,,
1972,54589,1259,209896021,,,
1973,54052,1313,211908788,,,
1974,45196,1280,213853928,,,
1975,44525,1327,215973199,,,
1976,45523,1402,218035164,,,
1977,47878,1467,220239425,,,
1978,50331,1544,222584545,,,
1979,51093,1529,225055487,,,
1980,51091,1527,227224681,,,
1981,49301,1552,229465714,,,
1982,43945,1595,231664458,21191.0,21191.0,22754
1983,42589,1652,233791994,19958.0,19958.0,22631
1984,44257,1720,235824902,20062.0,20062.0,24195
1985,43825,1774,237923795,18125.0,18994.0,25700
1986,46087,1834,240132887,20081.0,20081.0,26006
1987,46390,1921,242288918,19822.0,19822.0,26568
1988,47087,2025,244498982,19898.0,19898.0,27189
1989,45582,2096,246819230,18603.0,18603.0,26979
1990,44599,2144,249464396,17705.0,18359.0,26894
1991,41508,2172,252153092,16405.0,16405.0,25103
1992,39250,2247,255029699,14603.0,14603.0,24647
1993,40150,2296,257782608,14173.0,14173.0,25977
1994,40716,2358,260327021,13463.0,13463.0,27253
1995,41817,2423,262803276,13478.0,,28339
1996,42065,2486,265228572,17126.0,,24939
1997,42013,2562,267783607,16189.0,,25824
1998,41501,2632,270248003,15935.0,,25566
1999,41717,2691,272690813,15786.0,,25931
2000,41945,2747,282216952,13324.0,,28621
2001,42196,2797,285226284,17400.0,,24796
2002,43005,2856,288125973,17419.0,,25586
2003,42884,2890,290796023,17013.0,,25871
2004,42836,2965,293638158,14409.0,,28427
2005,43510,2989,296507061,13582.0,,29928
2006,42708,3014,299398484,13491.0,,29217
2007,41259,3031,301139947,13041.0,,28218
2008,37423,2977,303824640,11711.0,,25712
2009,33883,2957,306700000,10759.0,,23124
2010,32999,2967,309326000,10136.0,,22863
2011,32479,2950,311588000,9865.0,,22614
2012,33782,2969,313914000,10336.0,,23446
2013,32893,2988,316129000,10110.0,,22783
2014,32744,3026,318860000,9943.0,,22801
2015,35485,3095,321370000,10320.0,,25165
2016,37806,3174,323121000,10996.0,,26810
2017,37133,3213,326213213,10908.0,,26225
2018,36560,3223,327096265,10511.0,,26049
